time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/clip_fraction,train/explained_variance,train/clip_range,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss
303104,399,1,20,0.00087890625,-1.1920928955078125e-07,0.2,360,0.001,1300.04,25969.150000000005,4.0451894e-05,-0.004267242977948627,439.02984619140625,-8.938232276705094e-05,2280.637516784668
311296,411,1,19,2.44140625e-05,0.0,0.2,370,0.001,1298.65,25961.983000000004,5.292124e-06,-0.0034187684941571206,1146.02880859375,-1.0081822438223753e-05,1996.2621126174927
319488,739,1,11,0.0004638671875,-1.1920928955078125e-07,0.2,380,0.001,1297.29,25953.371000000006,3.1506155e-05,-0.0026066487327625508,1179.0341796875,-0.0001222319362568669,1845.3676898002625
327680,553,1,14,0.0001708984375,-2.384185791015625e-07,0.2,390,0.001,1296.56,25949.978000000014,1.1371121e-05,-0.0024846072534273843,314.3663024902344,-1.985390917980112e-05,1887.5336867332458
335872,616,1,13,8.544921875e-05,0.0,0.2,400,0.001,1295.91,25946.269000000015,6.147493e-06,-0.0020994338865421014,1032.25634765625,-1.2229394269525073e-05,1639.145229959488
344064,641,1,12,0.0,5.960464477539062e-07,0.2,410,0.001,1295.02,25942.012000000006,0.0,-0.002017827722374932,284.08587646484375,-8.850838639773428e-08,1577.097866678238
352256,604,1,13,0.00025634765625,5.960464477539063e-08,0.2,420,0.001,1294.46,25938.486000000004,7.5443095e-06,-0.0019885629972122842,89.29596710205078,-3.3299243659712376e-05,1747.5671239376068
360448,793,1,10,9.765625e-05,0.0,0.2,430,0.001,1294.22,25937.02400000001,2.6230628e-06,-0.0017873141117888736,129.4280242919922,-1.6808032160042786e-05,1538.2220870494843
368640,674,1,12,2.44140625e-05,0.0,0.2,440,0.001,1293.93,25935.37300000001,1.793931e-06,-0.0015313946907554055,1447.6773681640625,-3.733692574314773e-06,1557.4013765096665
376832,498,1,16,0.00010986328125,0.0,0.2,450,0.001,1293.67,25933.80100000001,0.00011304511,-0.002128140455533867,1373.929931640625,-2.0054317428730428e-05,1835.9705883264542
385024,569,1,14,0.0400634765625,-1.1920928955078125e-07,0.2,460,0.001,1298.06,25951.306,0.048103925,-0.07916967509299866,2212.422119140625,0.0007481001768610441,1619.954769718647
393216,461,1,17,0.0565673828125,-1.1920928955078125e-07,0.2,470,0.001,1298.69,25952.987000000012,0.0896726,-0.14865950235398487,524.8369750976562,-0.006532912934198975,1642.8455429792405
401408,693,1,11,0.001953125,-1.1920928955078125e-07,0.2,480,0.001,1299.24,25954.879999999994,0.00026703998,-0.044415908749215305,36.278404235839844,-0.0004289608470571693,1654.7446183562279
409600,868,1,9,0.0050537109375,1.1920928955078125e-07,0.2,490,0.001,1299.4,25955.045999999995,0.00094919524,-0.02924452674924396,830.8948974609375,-0.0006584021657545236,1956.3565993666648
417792,882,1,9,0.0019775390625,0.0,0.2,500,0.001,1299.49,25955.629000000004,0.0005125203,-0.019969170610420407,1044.0576171875,-0.0003631042913184501,1703.4010520756244
425984,756,1,10,0.0009765625,-1.1920928955078125e-07,0.2,510,0.001,1299.56,25955.506,6.8800575e-05,-0.015033001053961926,1959.6578369140625,-0.00012266976045793854,1725.0944828510285
